,importance
gap_hse_pred,0.39255784838045216
gap_pbe,0.22825297436446892
mean_group,0.07071265614991926
mean_r_cov,0.034166345333719615
mean_X,0.03327675955751662
vol_per_atom,0.029368477985361886
range_X,0.028944546819855983
density_atoms,0.02540600524472322
spacegroup,0.023845145550218588
mean_Z,0.023654325421138808
min_X,0.021616487817726647
n_atoms,0.02127752116695361
has_transition_metal,0.01953079965708663
max_Z,0.019029626182127005
mean_period,0.013712389789887156
n_species,0.0080928983689826
max_X,0.006489628389016437
max_period,6.556382084487887e-05
